Age,Attrition,BusinessTravel,DailyRate,Department,EducationField,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,No,Travel_Rarely,670,Research & Development,Life Sciences,Male,31,Research Scientist,Divorced,2911,1,No,17,80,5,1,5,2,4,3
34,No,Travel_Rarely,1346,Research & Development,Medical,Male,93,Laboratory Technician,Divorced,2661,0,No,11,80,3,2,2,2,1,2
28,Yes,Travel_Rarely,103,Research & Development,Life Sciences,Male,50,Laboratory Technician,Single,2028,5,Yes,14,80,6,4,4,2,0,3
29,No,Travel_Rarely,1389,Research & Development,Life Sciences,Female,51,Manufacturing Director,Divorced,9980,1,No,11,80,10,1,10,9,8,8
32,No,Travel_Rarely,334,Research & Development,Life Sciences,Male,80,Research Scientist,Divorced,3298,0,Yes,12,80,7,5,6,2,0,5
22,No,Non-Travel,1123,Research & Development,Medical,Male,96,Laboratory Technician,Divorced,2935,1,Yes,13,80,1,2,1,0,0,0
53,No,Travel_Rarely,1219,Sales,Life Sciences,Female,78,Manager,Married,15427,2,No,16,80,31,3,25,8,3,7
38,No,Travel_Rarely,371,Research & Development,Life Sciences,Male,45,Research Scientist,Single,3944,5,Yes,11,80,6,3,3,2,1,2
24,No,Non-Travel,673,Research & Development,Other,Female,96,Manufacturing Director,Divorced,4011,0,No,18,80,5,5,4,2,1,3
36,Yes,Travel_Rarely,1218,Sales,Life Sciences,Male,82,Sales Representative,Single,3407,7,No,23,80,10,4,5,3,0,3
34,No,Travel_Rarely,419,Research & Development,Life Sciences,Female,53,Research Director,Single,11994,0,No,11,80,13,4,12,6,2,11
21,No,Travel_Rarely,391,Research & Development,Life Sciences,Male,96,Research Scientist,Single,1232,1,No,14,80,0,6,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,Medical,Male,83,Research Scientist,Single,2960,2,No,11,80,8,2,4,2,1,3
53,No,Travel_Rarely,1282,Research & Development,Other,Female,58,Manager,Divorced,19094,4,No,11,80,26,3,14,13,4,8
32,Yes,Travel_Frequently,1125,Research & Development,Life Sciences,Female,72,Research Scientist,Single,3919,1,Yes,22,80,10,5,10,2,6,7
42,No,Travel_Rarely,691,Sales,Marketing,Male,48,Sales Executive,Married,6825,0,No,11,80,10,2,9,7,4,2
44,No,Travel_Rarely,477,Research & Development,Medical,Female,42,Healthcare Representative,Married,10248,3,No,14,80,24,4,22,6,5,17
46,No,Travel_Rarely,705,Sales,Marketing,Female,83,Manager,Single,18947,3,No,12,80,22,2,2,2,2,1
33,No,Travel_Rarely,924,Research & Development,Medical,Male,78,Laboratory Technician,Single,2496,4,No,11,80,7,3,1,1,0,0
44,No,Travel_Rarely,1459,Research & Development,Other,Male,41,Healthcare Representative,Married,6465,2,Yes,13,80,9,5,4,2,1,3
30,No,Travel_Rarely,125,Research & Development,Medical,Male,83,Laboratory Technician,Single,2206,1,No,13,80,10,5,10,0,1,8
39,Yes,Travel_Rarely,895,Sales,Technical Degree,Male,56,Sales Representative,Married,2086,3,No,14,80,19,6,1,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,Medical,Male,61,Research Scientist,Married,2293,2,Yes,16,80,6,2,2,0,2,0
43,No,Travel_Rarely,1273,Research & Development,Medical,Female,72,Research Scientist,Divorced,2645,1,No,12,80,6,3,5,3,1,4
50,Yes,Travel_Rarely,869,Sales,Marketing,Male,86,Sales Representative,Married,2683,1,Yes,14,80,3,2,3,2,0,2
35,No,Travel_Rarely,890,Sales,Marketing,Female,97,Sales Representative,Married,2014,1,No,13,80,2,3,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,Life Sciences,Female,82,Research Scientist,Married,3419,9,Yes,14,80,6,3,1,1,0,0
33,No,Travel_Frequently,1141,Sales,Life Sciences,Female,42,Sales Executive,Married,5376,2,No,19,80,10,3,5,3,1,3
35,No,Travel_Rarely,464,Research & Development,Other,Male,75,Laboratory Technician,Divorced,1951,1,No,12,80,1,3,1,0,0,0
27,No,Travel_Rarely,1240,Research & Development,Life Sciences,Female,33,Laboratory Technician,Divorced,2341,1,No,13,80,1,6,1,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,Life Sciences,Male,48,Laboratory Technician,Single,2293,1,No,12,80,1,2,1,0,0,1
27,No,Travel_Frequently,994,Sales,Life Sciences,Male,37,Sales Executive,Single,8726,1,No,15,80,9,0,9,8,1,7
30,No,Travel_Frequently,721,Research & Development,Medical,Female,58,Laboratory Technician,Single,4011,1,No,23,80,12,2,12,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,Technical Degree,Female,49,Research Director,Married,19545,1,No,12,80,23,0,22,15,15,8
34,No,Non-Travel,1065,Sales,Marketing,Male,72,Sales Executive,Single,4568,0,No,20,80,10,2,9,5,8,7
37,No,Travel_Rarely,408,Research & Development,Life Sciences,Male,73,Research Scientist,Married,3022,4,No,21,80,8,1,1,0,0,0
46,No,Travel_Frequently,1211,Sales,Marketing,Male,98,Sales Executive,Single,5772,4,Yes,21,80,14,4,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,Life Sciences,Male,36,Laboratory Technician,Married,2269,1,No,19,80,1,2,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,Life Sciences,Male,98,Laboratory Technician,Single,5381,9,Yes,13,80,23,2,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,Technical Degree,Male,50,Laboratory Technician,Single,3441,1,Yes,13,80,2,3,2,2,2,2
44,No,Travel_Rarely,1488,Sales,Marketing,Female,75,Sales Executive,Divorced,5454,5,Yes,21,80,9,2,4,3,1,3
35,No,Non-Travel,1097,Research & Development,Medical,Male,79,Healthcare Representative,Married,9884,2,Yes,13,80,10,3,4,0,2,3
26,No,Travel_Rarely,1443,Sales,Marketing,Female,47,Sales Executive,Married,4157,7,Yes,19,80,5,2,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,Life Sciences,Female,98,Research Director,Single,13458,1,Yes,12,80,15,1,15,14,8,12
35,No,Travel_Frequently,853,Sales,Life Sciences,Male,71,Sales Executive,Married,9069,1,No,22,80,9,3,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,Medical,Female,30,Laboratory Technician,Married,4014,3,Yes,15,80,4,3,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,Life Sciences,Male,48,Laboratory Technician,Divorced,5915,3,No,22,80,10,3,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,Life Sciences,Male,51,Manufacturing Director,Divorced,5993,1,No,18,80,7,2,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,Medical,Male,33,Manufacturing Director,Married,6162,1,Yes,22,80,9,3,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,Life Sciences,Female,50,Laboratory Technician,Single,2406,1,No,11,80,10,2,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,Medical,Female,43,Research Director,Divorced,18740,5,Yes,12,80,29,2,27,3,13,8
59,No,Travel_Rarely,1435,Sales,Life Sciences,Female,99,Sales Executive,Single,7637,7,No,11,80,28,3,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,Technical Degree,Female,59,Healthcare Representative,Divorced,10096,1,No,13,80,17,2,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,Medical,Female,33,Manager,Divorced,14756,2,Yes,14,80,21,2,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,Life Sciences,Male,95,Manufacturing Director,Single,6499,1,No,13,80,6,3,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,Life Sciences,Male,59,Research Scientist,Divorced,9724,2,No,17,80,25,2,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,Medical,Male,79,Research Scientist,Married,2194,4,No,13,80,5,2,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,Medical,Male,79,Research Scientist,Married,3388,0,Yes,17,80,2,0,1,0,0,0
59,No,Travel_Frequently,1225,Sales,Life Sciences,Female,57,Sales Executive,Single,5473,7,No,11,80,20,2,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,Life Sciences,Male,76,Research Scientist,Married,2703,0,No,23,80,6,3,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,Medical,Male,87,Research Scientist,Single,2501,1,No,17,80,1,4,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,Life Sciences,Male,66,Research Scientist,Married,6220,1,No,17,80,10,3,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,Life Sciences,Female,55,Laboratory Technician,Married,3038,3,No,12,80,5,3,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,Life Sciences,Female,61,Manufacturing Director,Single,4424,1,No,23,80,11,2,11,7,1,8
35,No,Travel_Rarely,776,Sales,Marketing,Male,32,Sales Executive,Single,4312,0,No,14,80,16,2,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,Other,Male,52,Research Director,Married,13245,4,Yes,14,80,17,3,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,Medical,Male,30,Research Director,Single,13664,4,No,13,80,16,3,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,Medical,Male,80,Human Resources,Divorced,5021,8,Yes,22,80,16,2,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,Life Sciences,Male,55,Laboratory Technician,Married,5126,1,Yes,12,80,10,1,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,Medical,Male,30,Research Scientist,Single,2859,1,No,18,80,6,3,6,4,0,4
55,No,Travel_Rarely,111,Sales,Life Sciences,Male,70,Sales Executive,Married,10239,3,No,14,80,24,4,1,0,1,0
38,No,Non-Travel,573,Research & Development,Medical,Female,79,Research Scientist,Divorced,5329,7,Yes,12,80,17,3,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,Medical,Male,94,Manufacturing Director,Married,4325,1,No,15,80,5,2,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,Life Sciences,Male,49,Manufacturing Director,Single,7260,4,No,11,80,37,3,6,4,0,2
23,No,Travel_Rarely,541,Sales,Technical Degree,Male,62,Sales Representative,Divorced,2322,3,No,13,80,3,3,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,Life Sciences,Male,96,Laboratory Technician,Married,2075,3,No,23,80,10,4,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,Life Sciences,Male,99,Healthcare Representative,Married,4152,1,No,19,80,11,3,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,Medical,Male,64,Sales Executive,Single,9619,1,No,16,80,9,3,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,Life Sciences,Male,78,Healthcare Representative,Married,13503,1,No,22,80,22,3,22,3,11,11
51,No,Travel_Rarely,632,Sales,Marketing,Male,71,Sales Executive,Single,5441,0,Yes,22,80,11,2,10,7,1,0
30,No,Travel_Rarely,1334,Sales,Medical,Female,63,Sales Executive,Divorced,5209,1,Yes,12,80,11,4,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,Medical,Male,40,Healthcare Representative,Married,10673,2,Yes,13,80,21,5,10,9,9,5
32,No,Travel_Rarely,1093,Sales,Medical,Male,87,Sales Executive,Single,5010,1,No,16,80,12,0,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,Technical Degree,Female,60,Research Director,Married,13549,9,No,12,80,16,5,4,3,0,3
24,No,Travel_Rarely,1353,Sales,Other,Female,33,Sales Executive,Married,4999,0,No,21,80,4,2,3,2,0,2
28,No,Non-Travel,120,Sales,Medical,Male,43,Sales Executive,Married,4221,1,No,15,80,5,3,5,4,0,4
58,No,Travel_Rarely,682,Sales,Medical,Male,37,Sales Executive,Single,13872,0,No,13,80,38,1,37,10,1,8
44,No,Non-Travel,489,Research & Development,Medical,Male,67,Laboratory Technician,Married,2042,4,No,12,80,17,3,3,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,Human Resources,Male,63,Human Resources,Divorced,2073,4,Yes,22,80,7,3,3,2,0,2
32,No,Travel_Rarely,827,Research & Development,Life Sciences,Male,71,Research Scientist,Single,2956,1,No,13,80,1,2,1,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,Life Sciences,Female,66,Laboratory Technician,Single,2926,1,Yes,18,80,1,5,1,0,1,0
34,No,Travel_Rarely,665,Research & Development,Other,Female,41,Research Scientist,Single,4809,1,No,14,80,16,3,16,13,2,10
37,No,Non-Travel,1040,Research & Development,Life Sciences,Male,100,Healthcare Representative,Divorced,5163,5,No,14,80,17,2,1,0,0,0
59,No,Non-Travel,1420,Human Resources,Human Resources,Female,32,Manager,Married,18844,9,No,21,80,30,3,3,2,2,2
50,No,Travel_Frequently,1115,Research & Development,Life Sciences,Female,73,Research Director,Married,18172,3,Yes,19,80,28,1,8,3,0,7
25,Yes,Travel_Rarely,240,Sales,Marketing,Male,46,Sales Executive,Single,5744,1,Yes,11,80,6,1,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,Medical,Male,64,Research Scientist,Married,2889,1,No,11,80,2,2,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,Medical,Female,59,Laboratory Technician,Single,2871,1,No,15,80,1,5,0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,Medical,Female,30,Healthcare Representative,Single,7484,3,No,20,80,23,1,13,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,Life Sciences,Male,66,Laboratory Technician,Single,6074,1,Yes,24,80,9,3,9,7,0,6
54,No,Non-Travel,142,Human Resources,Human Resources,Female,30,Manager,Single,17328,2,Yes,12,80,23,3,5,3,4,4
24,No,Travel_Rarely,1127,Research & Development,Life Sciences,Male,52,Laboratory Technician,Married,2774,0,No,12,80,6,2,5,3,1,2
34,No,Travel_Rarely,1031,Research & Development,Life Sciences,Female,45,Research Scientist,Divorced,4505,6,No,15,80,12,3,1,0,0,0
37,No,Travel_Rarely,1189,Sales,Life Sciences,Male,87,Sales Executive,Single,7428,2,No,12,80,12,3,5,3,1,3
34,No,Travel_Rarely,1354,Research & Development,Medical,Female,45,Manager,Single,11631,2,No,12,80,14,6,11,10,5,8
36,No,Travel_Frequently,1467,Sales,Technical Degree,Female,92,Sales Executive,Married,9738,0,No,14,80,10,6,9,7,2,8
36,No,Travel_Rarely,922,Research & Development,Life Sciences,Female,39,Laboratory Technician,Divorced,2835,5,No,22,80,7,2,1,0,0,0
43,No,Travel_Frequently,394,Sales,Life Sciences,Male,92,Manager,Married,16959,1,Yes,12,80,25,3,25,12,4,12
30,No,Travel_Frequently,1312,Research & Development,Life Sciences,Male,96,Research Scientist,Divorced,2613,1,No,25,80,10,2,10,7,0,9
33,No,Non-Travel,750,Sales,Marketing,Male,95,Sales Executive,Married,6146,0,No,13,80,8,2,7,7,0,7
56,Yes,Travel_Rarely,441,Research & Development,Life Sciences,Female,72,Research Scientist,Married,4963,9,Yes,18,80,7,2,5,4,4,3
51,No,Travel_Rarely,684,Research & Development,Life Sciences,Male,51,Research Director,Single,19537,7,No,13,80,23,5,20,18,15,15
31,Yes,Travel_Rarely,249,Sales,Life Sciences,Male,76,Sales Executive,Married,6172,4,Yes,18,80,12,3,7,7,7,7
26,No,Travel_Rarely,841,Research & Development,Other,Female,46,Research Scientist,Married,2368,1,No,19,80,5,3,5,4,4,3
58,Yes,Travel_Rarely,147,Research & Development,Medical,Female,94,Healthcare Representative,Married,10312,1,No,12,80,40,3,40,10,15,6
19,Yes,Travel_Rarely,528,Sales,Marketing,Male,50,Sales Representative,Single,1675,1,Yes,19,80,0,2,0,0,0,0
22,No,Travel_Rarely,594,Research & Development,Technical Degree,Male,100,Laboratory Technician,Married,2523,0,No,14,80,3,2,2,1,2,1
49,No,Travel_Rarely,470,Research & Development,Medical,Female,96,Manufacturing Director,Married,6567,1,No,14,80,16,2,15,11,5,11
43,No,Travel_Frequently,957,Research & Development,Medical,Female,72,Research Scientist,Single,4739,4,No,12,80,18,2,3,2,1,2
50,No,Travel_Frequently,809,Sales,Marketing,Female,77,Sales Executive,Single,9208,4,No,11,80,16,3,2,2,2,1
31,Yes,Travel_Rarely,542,Sales,Life Sciences,Female,71,Sales Executive,Married,4559,3,Yes,11,80,4,2,2,2,2,2
41,No,Travel_Rarely,802,Sales,Life Sciences,Male,96,Sales Executive,Divorced,8189,3,Yes,13,80,12,2,9,7,0,7
26,No,Travel_Rarely,1355,Human Resources,Life Sciences,Female,61,Human Resources,Married,2942,1,No,23,80,8,3,8,7,5,7
36,No,Travel_Rarely,216,Research & Development,Medical,Male,84,Manufacturing Director,Divorced,4941,6,No,20,80,7,0,3,2,0,1
51,Yes,Travel_Frequently,1150,Research & Development,Life Sciences,Male,53,Manufacturing Director,Single,10650,2,No,15,80,18,2,4,2,0,3
39,No,Travel_Rarely,1329,Sales,Life Sciences,Female,47,Sales Executive,Married,5902,4,No,14,80,17,1,15,11,5,9
25,No,Travel_Rarely,959,Sales,Life Sciences,Male,41,Sales Executive,Married,8639,2,No,18,80,6,3,2,2,2,2
30,No,Travel_Rarely,1240,Human Resources,Human Resources,Male,48,Human Resources,Married,6347,0,Yes,19,80,12,2,11,9,4,7
32,Yes,Travel_Rarely,1033,Research & Development,Medical,Female,41,Laboratory Technician,Single,4200,7,No,22,80,10,2,5,4,0,4
45,No,Travel_Rarely,1316,Research & Development,Medical,Male,83,Research Scientist,Single,3452,5,No,13,80,9,2,6,5,0,3
38,No,Travel_Rarely,364,Research & Development,Technical Degree,Female,32,Research Scientist,Single,4317,3,Yes,20,80,19,2,3,2,2,2
30,No,Travel_Rarely,438,Research & Development,Life Sciences,Female,75,Research Scientist,Single,2632,1,No,14,80,5,4,5,4,0,4
32,No,Travel_Frequently,689,Sales,Medical,Male,35,Sales Executive,Divorced,4668,0,No,17,80,9,2,8,7,0,7
30,No,Travel_Rarely,201,Research & Development,Technical Degree,Female,84,Research Scientist,Divorced,3204,5,No,14,80,8,3,3,2,2,2
30,No,Travel_Rarely,1427,Research & Development,Medical,Male,35,Laboratory Technician,Single,2720,0,No,13,80,6,3,5,3,1,2
41,No,Travel_Frequently,857,Research & Development,Life Sciences,Male,91,Manager,Divorced,17181,4,No,13,80,21,2,7,6,7,7
41,No,Travel_Rarely,933,Research & Development,Life Sciences,Male,94,Laboratory Technician,Married,2238,2,No,21,80,7,2,5,0,1,4
19,No,Travel_Rarely,1181,Research & Development,Medical,Female,79,Laboratory Technician,Single,1483,1,No,14,80,1,3,1,0,0,0
40,No,Travel_Frequently,1395,Research & Development,Medical,Female,54,Research Scientist,Divorced,5605,1,No,11,80,20,2,20,7,2,13
35,No,Travel_Rarely,662,Sales,Marketing,Male,94,Sales Executive,Married,7295,1,No,13,80,10,3,10,8,0,6
53,No,Travel_Rarely,1436,Sales,Marketing,Male,34,Sales Representative,Married,2306,2,Yes,20,80,13,3,7,7,4,5
45,No,Travel_Rarely,194,Research & Development,Life Sciences,Male,60,Laboratory Technician,Divorced,2348,8,No,18,80,20,2,17,9,0,15
32,No,Travel_Frequently,967,Sales,Marketing,Female,43,Sales Executive,Single,8998,1,No,14,80,9,2,9,8,3,7
29,No,Non-Travel,1496,Research & Development,Technical Degree,Male,41,Manufacturing Director,Married,4319,1,No,13,80,10,1,10,7,0,9
51,No,Travel_Rarely,1169,Research & Development,Medical,Male,34,Manufacturing Director,Married,6132,2,No,17,80,10,2,1,0,0,0
58,No,Travel_Rarely,1145,Research & Development,Medical,Female,75,Research Scientist,Married,3346,4,Yes,20,80,9,3,1,0,0,0
40,No,Travel_Rarely,630,Sales,Marketing,Male,67,Sales Executive,Married,10855,7,No,11,80,15,2,12,11,2,11
34,No,Travel_Frequently,303,Sales,Marketing,Female,75,Sales Representative,Married,2231,6,No,18,80,6,3,4,3,1,2
22,No,Travel_Rarely,1256,Research & Development,Medical,Male,80,Research Scientist,Married,2323,1,No,24,80,2,6,2,2,2,2
27,No,Non-Travel,691,Research & Development,Medical,Male,57,Research Scientist,Divorced,2024,6,No,18,80,6,1,2,2,2,2
28,No,Travel_Rarely,440,Research & Development,Medical,Male,42,Research Scientist,Married,2713,1,No,11,80,5,2,5,2,0,2
57,No,Travel_Rarely,334,Research & Development,Life Sciences,Male,83,Healthcare Representative,Divorced,9439,3,Yes,16,80,12,2,5,3,1,4
27,No,Non-Travel,1450,Research & Development,Medical,Male,79,Research Scientist,Divorced,2566,1,Yes,15,80,1,2,1,1,0,1
50,No,Travel_Rarely,1452,Research & Development,Life Sciences,Female,53,Manager,Single,19926,3,No,15,80,21,5,5,4,4,4
41,No,Travel_Rarely,465,Research & Development,Life Sciences,Male,56,Research Scientist,Divorced,2451,4,No,12,80,13,2,9,8,1,8
30,No,Travel_Rarely,1339,Sales,Life Sciences,Female,41,Sales Executive,Married,9419,2,No,12,80,12,2,10,9,7,4
38,No,Travel_Rarely,702,Sales,Life Sciences,Female,59,Sales Executive,Single,8686,4,No,22,80,12,2,8,3,0,7
32,No,Travel_Rarely,120,Research & Development,Life Sciences,Male,43,Research Scientist,Single,3038,3,No,20,80,8,2,5,4,1,4
27,No,Travel_Rarely,1157,Research & Development,Technical Degree,Male,51,Research Scientist,Married,3058,0,Yes,16,80,6,3,5,2,1,1
19,Yes,Travel_Frequently,602,Sales,Technical Degree,Female,100,Sales Representative,Single,2325,0,No,21,80,1,5,0,0,0,0
36,No,Travel_Frequently,1480,Research & Development,Medical,Male,30,Laboratory Technician,Single,2088,4,No,12,80,13,3,8,7,7,2
30,No,Non-Travel,111,Research & Development,Medical,Male,66,Laboratory Technician,Divorced,3072,1,No,11,80,12,4,12,9,6,10
45,No,Travel_Rarely,1268,Sales,Life Sciences,Female,30,Sales Executive,Divorced,5006,4,Yes,11,80,9,3,5,4,0,3
56,No,Travel_Rarely,713,Research & Development,Life Sciences,Female,67,Research Scientist,Divorced,4257,4,Yes,18,80,19,3,2,2,2,2
33,No,Travel_Rarely,134,Research & Development,Life Sciences,Male,90,Research Scientist,Single,2500,0,No,14,80,4,2,3,1,0,2
19,Yes,Travel_Rarely,303,Research & Development,Life Sciences,Male,47,Laboratory Technician,Single,1102,1,No,22,80,1,3,1,0,1,0
46,No,Travel_Rarely,526,Sales,Marketing,Female,92,Sales Executive,Divorced,10453,1,No,25,80,24,2,24,13,15,7
38,No,Travel_Rarely,1380,Research & Development,Life Sciences,Female,75,Laboratory Technician,Single,2288,1,No,12,80,2,3,2,2,2,1
31,No,Travel_Rarely,140,Research & Development,Medical,Female,95,Research Scientist,Married,3929,8,Yes,23,80,7,0,4,2,0,2
34,No,Travel_Rarely,629,Research & Development,Medical,Female,95,Research Scientist,Single,2311,2,No,15,80,9,3,3,2,1,2
41,Yes,Travel_Rarely,1356,Sales,Marketing,Female,70,Sales Representative,Single,3140,1,Yes,22,80,4,5,4,3,0,2
50,No,Travel_Rarely,328,Research & Development,Medical,Male,86,Laboratory Technician,Married,3690,2,No,15,80,5,2,3,2,0,2
53,No,Travel_Rarely,1084,Research & Development,Medical,Female,57,Manufacturing Director,Divorced,4450,1,No,11,80,5,3,4,2,1,3
33,No,Travel_Rarely,931,Research & Development,Medical,Female,72,Research Scientist,Married,2756,1,No,13,80,8,5,8,7,1,6
40,No,Travel_Rarely,989,Research & Development,Medical,Female,46,Manager,Married,19033,1,No,14,80,21,2,20,8,9,9
55,No,Travel_Rarely,692,Research & Development,Medical,Male,61,Research Director,Single,18722,8,No,11,80,36,3,24,15,2,15
34,No,Travel_Frequently,1069,Research & Development,Life Sciences,Male,45,Manufacturing Director,Married,9547,1,No,17,80,10,2,10,9,1,9
51,No,Travel_Rarely,313,Research & Development,Medical,Female,98,Healthcare Representative,Single,13734,3,No,18,80,21,6,7,7,1,0
52,No,Travel_Rarely,699,Research & Development,Life Sciences,Male,65,Manager,Married,19999,0,No,14,80,34,5,33,18,11,9
27,No,Travel_Rarely,894,Research & Development,Medical,Female,99,Research Scientist,Single,2279,1,No,16,80,7,2,7,7,0,3
35,Yes,Travel_Rarely,556,Research & Development,Life Sciences,Male,50,Manufacturing Director,Married,5916,3,Yes,13,80,8,1,1,0,0,1
43,No,Non-Travel,1344,Research & Development,Medical,Male,37,Research Scientist,Divorced,2089,4,No,14,80,7,3,5,4,2,2
45,No,Non-Travel,1195,Research & Development,Medical,Male,65,Manager,Married,16792,9,No,23,80,22,1,20,8,11,8
37,No,Travel_Rarely,290,Research & Development,Life Sciences,Male,65,Research Scientist,Married,3564,1,Yes,12,80,8,3,8,7,1,7
35,No,Travel_Frequently,138,Research & Development,Medical,Female,37,Laboratory Technician,Single,4425,5,No,11,80,10,5,6,2,1,2
42,No,Non-Travel,926,Research & Development,Medical,Female,36,Manufacturing Director,Divorced,5265,2,No,16,80,11,5,5,3,0,2
38,No,Travel_Rarely,1261,Research & Development,Life Sciences,Male,88,Manufacturing Director,Married,6553,9,No,14,80,14,3,1,0,0,0
38,No,Travel_Rarely,1084,Research & Development,Technical Degree,Male,54,Manufacturing Director,Married,6261,3,No,18,80,9,3,7,7,1,7
27,No,Travel_Frequently,472,Research & Development,Technical Degree,Male,60,Manufacturing Director,Married,4298,5,No,19,80,6,1,2,2,2,0
49,No,Non-Travel,1002,Research & Development,Life Sciences,Male,92,Manufacturing Director,Divorced,6804,1,Yes,15,80,7,0,7,7,1,7
34,No,Travel_Frequently,878,Research & Development,Medical,Male,43,Research Scientist,Divorced,3815,1,Yes,17,80,5,4,5,3,2,0
40,No,Travel_Rarely,905,Research & Development,Medical,Male,99,Laboratory Technician,Married,2741,8,Yes,15,80,15,2,7,2,3,7
38,Yes,Travel_Rarely,1180,Research & Development,Medical,Male,70,Healthcare Representative,Married,6673,7,Yes,19,80,17,2,1,0,0,0
29,Yes,Travel_Rarely,121,Sales,Marketing,Female,35,Sales Executive,Married,7639,1,No,22,80,10,3,10,4,1,9
