ID,LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default Status
61,5.00E+00,28,22848,23638,18878,14937,13827,15571,1516,13,1,1,2,2,Default
62,7,39,78,726,69938,16518,1496,83,425,295,1,2,3,,Not Default
63,5,29,24987,243,26591,25865,27667,28264,,27,,2225,12,,Default
64,5,46,28718,29166,,,,,1,,,,,,Default
65,13,51,99,,,,2353,,,,,2353,,,Not Default
66,2.00E+00,57,152519,148751,14476,8174,8198,7918,,,8222,3,,1,Default
67,1,56,297,4193,3978,462,4196,4326,23,,15,2,2,16,Default
68,21,3,3,3,1159,228,3,425,3,1159,228,3,425,99,Not Default
69,13,29,-19,-985,-985,1311,1161,7319,,,2161,,7319,13899,Not Default
7,2,22,18565,1724,17285,1885,1125,5982,,12,1,5,1,,Not Default
71,8,31,78,,39,39,39,39,,39,39,39,39,39,Not Default
72,32,29,58267,59246,6184,58622,6237,63526,25,25,,48,24,16,Default
73,2.00E+00,32,976,5787,-684,5247,3848,3151,5818,15,912,17,3165,1395,Not Default
74,29,37,,,3155,,2359,,,3155,,2359,,,Not Default
75,34,32,348,555,23337,4291,8153,2582,5713,23453,4314,8552,25949,216,Not Default
76,2,24,14619,17216,16642,16976,17332,18543,285,,61,63,15,,Not Default
77,5,25,42838,37225,3687,9636,959,13,1759,1779,32,5,1,1,Not Default
78,3.00E+00,45,291,291,291,291,291,291,291,291,291,291,291,291,Not Default
79,3,22,28387,29612,3326,284,26446,6411,1686,14,56,3,1765,,Default
8,24,44,,,,,,,,,,,,,Default
81,47,33,165254,157784,16272,69923,29271,29889,64,7566,3,96,1,3,Not Default
82,36,26,23411,27796,34,331,18,196,4796,34,31,1469,196,2963,Not Default
83,6,3,26324,27471,2818,21993,19899,19771,1576,1213,648,768,114,,Default
84,4.00E+00,44,131595,1396,126819,1443,1499,9458,17,3,35,3,32,28,Not Default
85,5,49,4899,47863,21489,2414,19342,19482,1676,132,7,699,849,826,Not Default
86,16,33,1328,1788,71934,118418,11847,12418,44,3547,8,45,48,45,Not Default
87,36,45,39,117,78,39,39,39,117,,,39,39,39,Default
88,16,32,3826,4751,664,864,772,766,1147,2,2,,766,233,Not Default
89,13,35,81313,117866,1774,133,795,119,4,5,133,795,119,29,Not Default
9,2,44,8583,833,9651,1488,12314,1197,,1651,1,2,,15,Not Default
91,2.00E+00,53,13818,14774,14246,14498,147124,149531,63,55,55,55,5,5,Default
92,28,39,7524,,3968,3868,,,,3968,,,,,Not Default
93,1.00E+00,27,-2,5555,,,,,7555,,,,,,Not Default
94,16,37,88,162,84,84,,,162,84,84,,,7736,Not Default
95,6,23,45648,4685,47214,19595,1929,19323,1937,131,682,69,816,835,Not Default
96,9,35,83725,85996,87653,35565,3942,3835,3621,3597,1179,1112,114,1143,Not Default
97,36,43,3967,8322,3394,6451,2637,9956,8339,3394,1292,27,,68978,Not Default
98,15,27,869,8618,896,89775,87725,4788,431,16,3266,44,1698,8,Not Default
99,5,22,18722,1816,16997,1315,8866,7899,1411,1194,379,281,321,197,Not Default
1,2,38,17973,19367,19559,1824,17928,15,1699,146,626,175,15,,Default
11,14,32,672,1212,85,415,1,143,1212,85,415,1,143,,Not Default
12,38,3,-81,-33,32475,32891,33564,3456,223,33178,1171,1197,125,5,Not Default
13,48,63,42269,431342,479432,48766,471145,469961,1678,55693,17,,18,242,Not Default
14,5,22,44698,42254,38347,32496,23477,2494,1767,1362,12,84,995,94,Default
15,6,26,56685,5528,59175,6218,55447,5535,,5,2511,6,3,3,Not Default
16,7,24,558,,,,,26529,,,,,26529,2,Not Default
17,8,36,618,2861,3277,3319,115,115,2861,3279,3319,115,115,135,Not Default
18,35,52,713,2272,722,867,115,5263,2272,722,867,115,5263,511,Not Default
19,13,38,171438,178382,3994,12483,44127,126568,198,,133657,4566,133841,4796,Not Default
11,36,35,-13,-13,-13,-13,-13,-13,,,,,,,Not Default
111,33,31,15879,18431,15594,15896,16491,17289,926,,3593,41,15794,,Not Default
112,5,47,13244,14722,15181,15928,16671,17393,2,1,1,1,1,1,Not Default
113,28,41,135673,138532,134813,14441,152174,149415,65,,14254,1485,,5,Not Default
114,1.00E+00,24,52128,52692,54477,5676,61,59713,2,2677,376,58,3,233,Not Default
115,5,41,1915,19294,2259,2274,2311,19957,134,135,7,718,724,684,Not Default
116,3,24,18199,17618,18631,21319,2692,2121,,1312,3,,1,1,Default
117,24,28,326,326,326,5676,476,326,326,326,5676,476,326,526,Not Default
118,8,26,1429,15493,1663,1755,17629,18186,2,17,1,1,1,1,Default
119,4.00E+00,34,1966,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,Not Default
12,24,38,5254,51445,5315,52479,137,123,2,3,3,137,123,563,Not Default
121,5,37,464,45976,48953,48851,49318,51143,1,435,1,14,28,,Default
122,45,4,,,,,,,,,,,,,Default
123,11,48,,,,,,,,,,,,,Not Default
124,31,35,34991,311243,36314,25861,246491,198889,1319,11128,847,8599,6833,5987,Default
125,2,27,19115,18962,19298,19378,19717,1563,144,113,6,861,313,,Not Default
126,2,23,,,,,,,,,,,,,Not Default
127,2.00E+00,52,11151,9953,98951,1914,13146,14993,3568,3585,362,3848,3669,3784,Not Default
128,18,36,163736,116422,99278,95766,97753,95927,4655,269,267,2142,2217,1,Default
129,5,51,3347,3899,453,5347,6375,777,1,166,13,15,12,134,Default
13,6,55,6521,6145,57244,28853,2951,26547,254,7,12,12,11,15,Not Default
131,3,23,4,5645,358,-27,13744,596,5645,358,27,13771,5911,324,Not Default
132,24,41,95,2622,331,3164,36,1737,2622,331,,36,1737,924,Not Default
133,42,34,253454,247743,22949,22951,2166,18818,9744,9553,763,783,7253,11326,Not Default
134,33,46,227389,228719,229644,227587,227775,22823,821,895,825,8175,8391,82,Not Default
135,3,22,28452,26145,26712,2535,1763,-78,2,14,,5,,156,Not Default
136,24,34,1674,1235,13681,13269,14158,13891,15,18,,1,,327,Not Default
137,15,27,17444,19342,22,24614,272,3229,25,3,3,3,35,5,Not Default
138,21,33,7166,7997,8792,9189,444,578,15,15,1,5,2,546,Not Default
139,5,51,752,3,588,,,,3,588,,,,,Default
14,5,24,581,5143,49586,1943,19375,18995,236,17,1,9,87,213,Not Default
141,24,47,,,,,,,,,,,,,Default
142,18,28,1832,,832,332,416,416,,416,332,5,35,832,Not Default
143,5,23,1131,1833,2583,19996,19879,1865,1,1,4,7,8,6,Not Default
144,17,29,12159,1,1,1,9983,15846,1,1,1,9983,15863,1,Not Default
145,2,29,1199,15586,344,234,672,339,15586,344,234,472,339,33,Not Default
146,5,28,4999,5913,7315,9195,1624,1138,1,15,2,1583,11,,Not Default
147,17,27,19269,2313,2852,1756,17918,91,1661,12,351,358,182,,Default
148,2.00E+00,34,197236,176192,9369,135668,132233,59875,8,5,555,5,5,85,Not Default
149,8,23,9168,1522,125,9898,1123,1234,165,,,379,291,1,Not Default
15,26,6,-11,-11,214,,969,869,,225,,969,1,,Not Default
151,14,32,86627,78142,68336,64648,58319,55251,3455,311,5,,21,262,Not Default
152,8,25,42444,55744,43476,4187,41951,31826,3,3,6,8,2,14,Not Default
153,35,41,28,296,1,63,,,296,1,63,,,,Not Default
154,28,56,28775,18235,132257,11783,177145,169311,842,67,5137,1.00E+00,7,6321,Not Default
155,3,26,914,146,11427,11935,1384,1426,17,15,1,15,15,15,Not Default
156,14,34,23944,2849,3273,43129,4786,48699,5,5,11885,5,3,554,Not Default
157,2.00E+00,37,1542,1287,89643,9938,9255,9431,4,325,325,35,356,5,Not Default
158,2.00E+00,3,19631,196143,189524,167163,146975,122324,73,718,768,62,5,45,Not Default
159,21,45,115785,12294,129847,137277,145533,15415,1478,1478,1178,1178,11678,1478,Default
16,5,57,12854,12362,13447,13427,13711,1483,,16,5,5,6,6,Not Default
161,3,41,24357,27453,26718,28168,27579,28321,35,,22,,12,125,Not Default
162,5,27,39,39,78,216,18,54,39,78,216,864,,39,Not Default
163,29,47,1234,396,396,792,396,423,396,396,792,,423,369,Not Default
164,25,34,141223,156858,151841,15283,155997,1622,17994,,5469,5656,6811,392,Not Default
165,6,46,21148,2383,2498,2634,26655,27756,3,15,15,1,15,15,Not Default
166,11,27,1164,14795,14855,74737,7658,77254,55,39,3,29,3,28,Not Default
167,37,5,693,1513,824,15398,4792,13453,15383,824,15413,4792,13453,4699,Not Default
168,1.00E+00,27,12349,96847,58824,29336,22979,-246,3166,,133,1398,12,5,Not Default
169,9,35,72112,73854,75526,77317,85852,8829,35,35,3652,1,4,,Not Default
17,5,22,284,2992,29366,27737,28318,2886,151,1442,982,117,1277,567,Not Default
171,27,37,37695,33397,3534,27598,26344,24641,5,2,3,4,3,2,Not Default
172,3.00E+00,3,688,328,,434,2672,8,3288,,434,2672,8,746,Not Default
173,5,22,8567,15273,1165,7457,3115,7725,15,1,149,,5,1,Not Default
174,5,24,-79,-79,-79,-2898,-3272,-3272,,,,,,,Default
175,36,29,,,77,,,,,77,,,,,Not Default
176,13,56,64617,65978,67282,68557,72796,71345,3,3,3,55,,,Default
177,8,3,6187,1,6,1438,1919,538,54,5,1,5,35,,Not Default
178,5,3,4886,4781,48363,3221,22877,22361,,15,1,2,,2,Not Default
179,2,22,161,12622,13221,1313,1434,1496,1212,121,5,15,15,1,Not Default
18,8,29,77883,81811,825,61467,1662,11486,58,1,6,4,1,,Not Default
181,24,37,12212,26578,25331,2665,26279,1256,15,,2,,1256,65935,Not Default
182,8,35,4968,12412,14873,17364,1777,1746,125,65,3,2,3,2,Not Default
183,5.00E+00,47,56422,11616,1134,122967,18834,764,71,3357,3,2,52183,2,Not Default
184,6,24,5824,57891,48839,18971,19323,19395,25,16,3,1,737,2,Default
185,2,25,1642,11677,137,1228,1615,162,12,1593,61,135,1824,,Not Default
186,1.00E+00,38,14483,13961,15323,16268,15868,16448,,16,15,,1,15,Default
187,36,32,2616,5777,5287,68445,13881,1624,5787,5295,68454,13889,1625,38313,Not Default
188,2.00E+00,47,199436,22947,193936,196186,2162,189915,8214,7,68,7134,,6836,Default
189,13,34,,5396,127,13576,13864,14636,5396,5,35,51,1,2,Not Default
19,2,31,2173,2187,21461,2835,2219,2487,,1,,,76,,Not Default
191,31,32,5991,62147,6212,65875,6387,43328,12,631,157,528,56,4223,Not Default
192,6,27,19625,2347,21669,235,22499,22873,1342,1664,2,,9,846,Default
193,18,29,11386,199,,,17227,1742,199,,,17227,341,5114,Not Default
194,18,24,1467,2287,21282,12,,,37867,,2,,,,Not Default
195,5,36,4779,18114,1825,-14,72,658,2,1,2,5,1,211,Not Default
196,5,24,36166,37188,3768,38462,39228,435,19,14,17,1532,16,,Default
197,15,34,,,,116,,15,,,116,,15,,Not Default
198,2,22,18553,19446,1965,8332,18868,19247,15,132,541,2,693,1,Not Default
199,5.00E+00,34,412,138,2299,1251,126,1151,138,2299,1251,126,1151,15816,Not Default
2,3,22,291,29256,28122,29836,163,,1,85,1714,14,,,Default
21,18,38,75,,,,,,,,,,,,Not Default
22,14,31,27123,27299,17985,2225,2747,1833,25,,3,78,,25,Not Default
23,14,26,13424,18,131,5818,1356,487,1,131,5841,1356,487,74,Not Default
24,12,26,17314,11578,113736,116,119131,122135,5,5,4152,5,5,5,Not Default
25,36,48,22643,231878,234192,19211,173557,146511,91,73,58,56,56,41,Not Default
26,2,43,227,2351,2237,19339,1945,19337,22359,135,1258,1459,3457,17,Not Default
27,1.00E+00,47,39,1473,39,39,39,,1473,39,39,39,,238,Not Default
28,21,41,388,1586,343,3763,877,,1586,343,3763,877,,419,Default
29,8,24,81625,81554,79599,49552,4959,49568,32,3,238,2,18,18,Default
21,33,5,8872,4337,2854,169,,179,4345,2854,172,,179,258,Not Default
211,22,24,1567,18917,11152,833,,85632,5,55,833,,85632,,Not Default
212,21,38,,,25,123,789,1222,,25,,789,1222,9616,Default
213,4,43,38257,3891,3813,3627,33138,31339,17,154,12,15,15,1,Not Default
214,3,39,28347,2818,18388,12992,7736,832,336,239,,1,2,148,Not Default
215,47,27,296573,3332,37843,479978,35145,39959,13,111,,1484,1838,1367,Not Default
216,3,42,39,39,39,24,132,78,39,39,24,147,,,Not Default
217,24,36,-946,-946,-946,-946,-946,-946,,,,,,,Default
218,8,36,79278,7851,78534,816,76235,78245,31,35,34,3,35,3,Not Default
219,11,31,89989,84229,79288,73315,63818,6328,4,5,3,3,3,8954,Not Default
22,31,38,1424,4542,126,,,,4542,126,,,,,Not Default
221,36,4,15167,115468,112157,11469,117845,12238,12,,59,5,45,47,Default
222,33,45,335196,334954,335527,33386,33576,33121,12388,12378,12116,1245,12213,11678,Not Default
223,3.00E+00,35,291619,297268,25629,215827,28464,21258,1219,96,17,12,9557,15,Not Default
224,32,33,91653,9437,18597,65913,4385,33263,142,18832,2117,276,545,3754,Not Default
225,5,37,52626,51537,4925,3394,3249,29957,,24,15,1,121,3592,Default
226,17,28,1337,131199,1289,125514,12728,128839,653,486,225,482,4877,4962,Not Default
227,35,44,3265,2686,1864,569,,,2686,1864,569,,,,Not Default
228,2,37,16455,16511,1892,18768,1865,19175,169,3,663,676,834,782,Not Default
229,5,23,49758,48456,44116,21247,266,18858,241,2254,24,74,77,14,Default
23,2,24,19154,18165,17233,763,173,,,1333,5,1,,32,Not Default
231,5,24,3584,35796,3937,1942,1385,138,29,22,12,238,111,389,Not Default
232,2,23,2235,17132,16856,16875,13454,114,,12,1,,1,1,Default
233,5,26,128,,,2624,45567,46557,,,2624,45567,1747,2,Not Default
234,19,34,12981,131383,134379,142323,1412,1552,5,5,1,,12118,2769,Default
235,6,33,5823,36367,2934,2694,2175,19421,156,1298,1,721,811,599,Not Default
236,8,35,7988,3977,6848,1719,1378,19942,3983,6853,1719,1378,19942,2418,Not Default
237,15,27,12742,115,51547,44384,369,29497,45,1745,1566,128,177,2529,Not Default
238,21,31,144,,7422,893,682,2293,,7422,893,682,2293,3299,Not Default
239,24,5,23425,231669,214642,27642,21375,214694,1116,915,88,8,89,7714,Default
24,14,41,19346,2178,2294,1968,1649,16383,3,2,2198,1,3,2399,Default
241,6,28,2151,265,,,,2285,,,,,2285,,Not Default
242,5,39,47174,47974,4863,583,3789,15874,18,2,3,2,2,2,Not Default
243,5,27,26655,27724,28676,2799,2879,29399,18,175,9,12,12,11,Not Default
244,18,32,3139,5853,2821,,2821,,2821,,,2821,,176,Not Default
245,3,4,142,215,139,19,19,79,355,12,,,6,6,Not Default
246,2,4,19816,2396,212,19575,,,161,223,2114,,,,Not Default
247,25,75,52874,1631,1536,11,5572,794,1631,1536,11,5572,794,1184,Not Default
248,1.00E+00,27,37767,34457,336,3337,3997,3294,1788,1799,11,115,2423,,Not Default
249,33,25,4614,45781,48139,51137,3945,25358,254,47,556,74,123,2566,Not Default
25,5,46,35713,15392,1699,16418,16765,17484,1561,1268,587,611,1,2,Not Default
251,5,26,5867,51486,48869,3115,29527,29998,171,136,126,22,25,33,Not Default
252,3,28,29242,2957,29155,25255,221,,56,1244,851,955,,,Not Default
253,14,26,11551,15246,14781,15334,17699,16828,5366,587,365,3894,3785,334,Default
254,16,28,7243,47779,2852,7222,99669,84426,742,2,1,99669,126,1,Not Default
255,4.00E+00,29,19532,3719,1453,4944,1896,2486,3127,1469,4968,195,2494,862,Not Default
256,5,25,27699,28513,29341,29928,29533,28538,1565,1393,98,994,124,886,Not Default
257,14,48,1154,1233,862,1355,113,21361,1233,175,1355,113,21361,1347,Not Default
258,16,33,815,2453,9624,52572,7333,221,2453,988,52572,1546,221,,Not Default
259,1.00E+00,43,6217,,,,,,,,,,,,Not Default
26,22,48,2138,213522,21852,169115,172169,16242,1,92,6,55,6,55,Default
261,51,29,78331,99414,17686,13776,87265,36739,41,294,5,51,25365,65,Not Default
262,5,29,49276,351,32563,27823,2913,2839,162,14,3,313,162,6318,Not Default
263,16,38,4473,4664,5969,18941,16578,12652,4664,5969,18941,,12652,1916,Not Default
264,23,37,2283,5815,,,299,338,51315,,,299,338,,Not Default
265,8,37,1115,249,5986,188,1644,16872,258,5995,188,1644,16872,4,Not Default
266,15,25,6156,,,316,316,316,,,316,316,316,316,Not Default
267,1,23,6974,7838,92,9182,9729,9411,1134,1298,478,847,,175,Not Default
268,13,49,893,91362,72197,49654,2865,275,41,395,163,561,6,,Default
269,4,48,34871,34449,33634,34586,34762,35673,16,16,15,15,15,15,Not Default
27,5,27,13694,1488,14242,13968,14319,2614,17,,426,51,2614,139,Default
271,1.00E+00,32,73,31545,2974,19713,19848,18126,235,24,616,27,19,215,Not Default
272,12,34,182,632,135,9,45,,,135,,,,45,Not Default
273,26,58,,,,,,,,,,,,,Default
274,2.00E+00,33,11253,12852,1424,14512,16325,1195,2,1322,2,2,12,3,Not Default
275,36,28,,,,,,,,,,,,,Default
276,7,36,68699,6912,68376,3163,1431,1585,4483,12496,3268,3,3,2,Not Default
277,46,4,171,2715,-13,2641,-1,22535,2728,,2654,,22545,,Default
278,5,26,1156,316,316,316,316,316,316,316,316,316,316,316,Not Default
279,5,33,5859,5462,5654,246,267,1973,27,2199,691,77,73,697,Not Default
28,25,31,1319,12594,9719,9929,1871,11299,4,45,5,4,5,44,Not Default
281,3,27,1512,2458,664,1814,,,1,664,15,,,,Not Default
282,27,44,127543,19189,9263,69669,44149,43414,163,5162,115,44299,4359,3131,Not Default
283,18,3,163935,153152,14732,122196,13692,724,7722,691,3563,365,3,3211,Not Default
284,1.00E+00,28,53494,52656,526,52336,55831,56265,4173,3,225,5,3,3,Not Default
285,23,32,195126,88743,92195,94814,98182,98457,5,5,5,5,4,5,Not Default
286,21,46,11346,41986,21874,276,16171,586,41986,21874,276,16171,586,19777,Not Default
287,21,38,652,6284,62769,62683,63663,46549,3276,226,2,2,2,252,Not Default
288,44,46,18641,181557,149944,113135,1528,97622,861,697,3727,38,41,271,Not Default
289,1.00E+00,25,7896,71678,7125,69856,69718,51365,3472,292,2,2127,196,1559,Default
29,24,46,8751,99,165,1765,11765,4311,1295,1,1,1,1,1,Not Default
291,28,33,898,898,325,898,325,-33963,898,325,898,325,,345293,Default
292,5,22,,,,,,,,,,,,,Default
293,3,43,17,261,1914,2182,2,2566,11,,3,,6,,Not Default
294,1,27,715,1227,956,991,9963,1182,357,,5,37,393,7,Default
295,13,29,,,,,,,,,,,,15,Not Default
296,2.00E+00,31,194353,197344,186292,133345,133634,13399,9,7465,4715,484,5141,53,Not Default
297,12,29,1686,657,2179,1423,,182,657,2319,1423,,182,2496,Not Default
298,21,36,143225,142996,144415,14819,147993,131629,6483,582,6,59,4544,47,Not Default
299,28,36,58983,6788,63225,2971,3172,3771,2755,3463,13,11,11,2,Not Default
3,3.00E+00,34,,,131,1261,19595,23,,131,,19595,23,,Default
31,1.00E+00,37,9929,98222,67185,66926,66796,64513,349,2332,2314,2365,2497,235,Not Default
32,44,36,,,,,,,,,,,162,,Not Default
33,5,4,49941,51213,1214,12898,13687,14458,24,126,1,1,1,1,Not Default
34,2,25,11968,14564,2782,15824,15761,1251,28,,4,17,1,2,Default
35,2.00E+00,27,871,665,96,4242,484,7414,665,96,398,114,35,288,Not Default
36,11,26,432,322,574,1256,1848,4,322,594,,3,,,Not Default
37,5.00E+00,36,1483,23956,,85,459,,23962,,85,459,,,Not Default
38,3.00E+00,27,,5215,,,,,5215,,,,,,Not Default
39,3,55,972,1613,11339,12841,13836,14514,12,12,2,15,15,15,Default
31,6,27,2847,1381,14366,4889,273,11736,1389,14583,4889,273,13557,,Not Default
311,4.00E+00,38,3697,36,1354,5322,513,277,1,1354,5322,6,2386,985,Not Default
312,18,34,14331,146333,14742,127814,13331,132845,7,5,5,49,5,51,Not Default
313,2,4,1934,13738,16567,1411,1357,1434,3,31,,3,15,,Not Default
314,2.00E+00,49,52439,514,5625,54723,58657,59983,,6,,5,2286,3,Default
315,1.00E+00,27,55734,52557,33415,28776,1758,6441,1631,1286,2,645,99,2,Not Default
316,6,23,4957,33282,34312,17277,1788,19346,197,2,618,89,2,616,Default
317,11,36,47819,48947,533,5894,52175,53652,22,25,2,21,25,22,Not Default
318,26,53,,165,526,452,397,485,165,526,452,397,485,459,Not Default
319,5,46,48522,5955,29516,29742,29898,24883,3754,1,17,13,863,654,Not Default
32,18,29,-2,-2,-2,-2,-2,-2,,,,,,,Not Default
321,11,29,58362,56598,5198,48647,47862,47969,25,,2,2,1854,2,Default
322,34,27,17218,1814,166281,155628,145645,13263,2115,5461,5,5849,2732,5,Not Default
323,5,24,1399,2441,3865,7476,8384,885,17,15,3666,2477,136,1,Not Default
324,23,28,26361,18826,11,21,767,6173,171,11,1,767,6173,1,Default
325,36,32,9329,9454,91834,95631,1123,1738,1,7,1,1,1,1,Not Default
326,21,43,,,3813,4555,4575,3756,,3813,3,5,3,3,Not Default
327,22,41,65,65,325,95,475,325,325,,95,,325,325,Default
328,6,34,24898,27976,27233,3184,29566,3225,38,,372,,13,1291,Default
329,34,55,5396,44665,83,219,24599,7416,44665,8321,219,24599,7416,77195,Not Default
33,15,4,99855,12586,164,14975,17147,19428,52,,81,4,42,42,Not Default
331,2.00E+00,37,-179,55,189,6773,2329,16893,1,,69,24,17,25,Default
332,13,4,9559,12394,11883,9826,1167,12685,3,,5,5,27,5,Default
333,6,28,154,1232,11237,11427,2973,31857,,1483,673,1,1154,7,Not Default
334,4.00E+00,43,,,,,16,78388,,,,16,78388,,Not Default
335,2,27,2571,1989,19658,19453,1918,18868,1323,16,83,7,674,376,Not Default
336,19,28,143464,146943,15195,153538,156664,16361,5795,748,5645,5753,637,5865,Not Default
337,26,3,156882,16246,159988,158114,158762,15918,1,8,6,7,7,6,Not Default
338,14,31,39,,,,,,,,,,,,Not Default
339,5,31,46512,47716,49675,3929,378,2917,1974,446,161,173,146,147,Default
34,12,34,882,6531,6313,11,133,83,69,537,11,133,38,237,Not Default
341,24,3,92,92,92,,92,,92,92,,92,,1883,Not Default
342,5,36,5916,6172,4123,68,978,978,1212,12,,978,,,Not Default
343,2.00E+00,29,2393,183,4847,2183,24815,24248,,4872,2183,5,,1,Not Default
344,18,39,274731,281713,24263,122295,-15,15,11,145,26,,115,1898,Not Default
345,18,26,14543,138232,13553,15894,18248,16517,544,551,3835,416,425,428,Not Default
346,16,29,397,-77,-2697,233,6182,1654,,,5,5,15,13,Not Default
347,1.00E+00,26,137,4192,4159,3542,198,398,421,4159,1,18,2,1525,Not Default
348,5,29,4781,49316,549,45545,39963,41145,3,2,2,2,2,2,Default
349,14,31,138119,13795,14254,139679,141748,142174,66,65,51,53,6,5,Not Default
35,3,26,17893,1912,2123,2222,2796,19844,1411,1522,621,795,715,1,Default
351,9,26,39128,2473,194,194,,2311,1541,42,,,2311,3,Not Default
